account,name,link,keywords
@danielschuman@mastodon.social,Daniel Schuman,https://mastodon.social/@danielschuman,United States Congress; its rules; and its support entities; Separation of Powers
@Dr_AlonaDoli@mastodon.social,Alona Dolinsky,https://mastodon.social/@Dr_AlonaDoli,political parties; political representation; group appeals; text-as-data
@AmritaNarlikar@mastodon.social,Amrita Narlikar,https://mastodon.social/@AmritaNarlikar,IR; IPE; Geoeconomics; Negotiations; WTO; India
@reynellbadillo@sciences.social,Reynell Badillo,https://sciences.social/@reynellbadillo,Organized crime; civil war; criminal violence; foreign policy
@gscheiring@sciences.social,Gabor Scheiring,https://sciences.social/@gscheiring,comparative politics; political economy; democracy; health politics; Europe/Eastern Europe
@SoRelleM@mastodon.social,Mallory SoRelle,https://mastodon.social/@SoRelleM,American politics; public policy; policy feedback; inequality
@plutsc@sciences.social,Philipp Lutscher,https://sciences.social/@plutsc,Technology; autocracies; contentious politics and quantitative methods
@andrewm@fediscience.org,Andrew W. MacDonald,https://fediscience.org/@andrewm,China; authoritarian states; public opinion
@driotinto@sciences.social,Daniel Rio Tinto,https://sciences.social/@driotinto,IR; IR theory; security; political violence; civil war; rebel and criminal governance;
@raumwurschtler@sciences.social,Petar Bankov,https://sciences.social/@raumwurschtler,Parties; populism; voting behaviour; geography; Central and Eastern Europe
@courtney@journa.host,Courtney Radsch,https://journa.host/@courtney,social movements; geopolitics of media and technology; intl norms & comparative regulation
@carissatudor@mstdn.social,Carissa Tudor,https://mstdn.social/@carissatudor,Historical and comparative political economy; gender; political development; Europe
@jonasschmid@tooting.ch,Jonas Schmid,https://tooting.ch/@jonasschmid,Implementation; Federalism; Energy Policy and Politics
@JonLewallen@fediscience.org,Jonathan Lewallen,https://fediscience.org/@JonLewallen,Policy process; agenda setting; emerging technologies; institutions; longitudinal data
@abcronkhite@mastodon.social,Amanda Cronkhite,https://mastodon.social/@abcronkhite,Comparative political communication; Comparative political behavior; Media & Politics
@g_picot@sciences.social,Georg Picot,https://sciences.social/@g_picot,comparative political economy; comparative welfare state research; labour market policy
@kgraneng@eupolicy.social,Kristine Graneng,https://eupolicy.social/@kgraneng,European Union; political communication; migration
@jayulfelder@mastodon.online,Jay Ulfelder,https://mastodon.online/@jayulfelder,contentious politics; democratization
@dscagle@mstdn.party,Drew Cagle,https://mstdn.party/@Dscagle,Political Psychology
@MathiasKrams@mastodon.social,Mathias Krams,Https://mastodon.social/@mathiaskrams,SocioEcological transformation; transport Policy; critical state theory; political ecology
@wufel@sciences.social,Wojciech Ufel,https://sciences.social/@wufel,political theory; deliberative & participatory democracy; radical democracy; hermeneutics
@ISAMidwest@mstdn.social,International Studies Association Midwest,https://mstdn.social/@ISAMidwest,International Relations; Conflict; IPE; Comparative Politics; ISA region; Conference
@johank76@mastodon.nu,Johan Karlsson Schaffer,https://mastodon.nu/@johank76,Political theory; human rights; legal mobilisation; judicial politics; Scandinavia
@mikecowburn@mastodon.online,Mike Cowburn,https://mastodon.online/@mikecowburn,Intra-party; party politics; candidate selection; elite communication
@JohannesBlumenberg@fediscience.org,Johannes Blumenberg,https://fediscience.org/@JohannesBlumenberg,electoral behavior; political parties; stereotyping; party identification; Germany
@maripuerta@mstdn.social,Maria Puerta Riera,https://mstdn.social/@maripuerta,Authoritarianism; Democratization; Latin America; Latinos in the USA
@maripuerta@sciences.social,Maria Puerta Riera,https://sciences.social/@maripuerta,Authoritarianism; Democratization; Latin America; Latinos in the USA
@evanmckenzie@mastodon.social,Evan McKenzie,https://mastodon.social/@evanmckenzie,urban politics; law/courts; private government; condominium and homeowners associations
